"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__GGB9701;s__GGB9701_SGB15218",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__GGB9696;s__GGB9696_SGB15212",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium_SGB15315",100,0.226477935054122,5716.62777490638,100
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_SGB15196",101,0.256846081208687,6129.42118876942,101
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_isoflavoniconvertens",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__GGB9819;s__GGB9819_SGB15460",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellamassilia;s__Prevotellamassilia_timonensis",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Pseudoglutamicibacter;s__Pseudoglutamicibacter_SGB14255",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillospiraceae_unclassified;s__Oscillospiraceae_bacterium_NSJ_50",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillospiraceae_unclassified;s__Oscillospiraceae_unclassified_SGB15256",90,0.235906331309627,24.7200792255796,90
"k__Eukaryota;p__Eukaryota_unclassified;c__Eukaryota_unclassified;o__Eukaryota_unclassified;f__Eukaryota_unclassified;g__Blastocystis;s__Blastocystis_sp_subtype_1",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB9583;o__OFGB9583;f__FGB9583;g__GGB3490;s__GGB3490_SGB4664",12,0.279569892473118,1.36363636363636,12
"k__Bacteria;p__Firmicutes;c__CFGB75985;o__OFGB75985;f__FGB75985;g__GGB52165;s__GGB52165_SGB72910",12,0.279569892473118,1.36363636363636,12
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB3632;s__GGB3632_SGB4921",12,0.279569892473118,1.36363636363636,12
